Modification,Estuary,Site,Hydroid,Total,Schizoporella.errata
Modified,JAK,1,0,44,15
Modified,JAK,1,0,42,8
Modified,JAK,2,0,32,9
Modified,JAK,2,0,44,14
Modified,JAK,3,1,42,6
Modified,JAK,3,1,48,12
Modified,JAK,4,0,45,28
Modified,JAK,4,0,34,1
Pristine,JER,1,7,29,0
Pristine,JER,1,5,51,0
Pristine,JER,2,2,12,0
Pristine,JER,2,0,29,0
Pristine,JER,3,0,44,0
Pristine,JER,3,0,41,0
Pristine,JER,4,3,37,0
Pristine,JER,4,3,42,0
Modified,BOT,1,0,49,0
Modified,BOT,1,0,49,0
Modified,BOT,2,0,41,12
Modified,BOT,2,0,45,7
Modified,BOT,3,0,49,0
Modified,BOT,3,0,49,0
Modified,BOT,4,0,49,0
Modified,BOT,4,0,49,0
Pristine,WAG,1,0,9,0
Pristine,WAG,1,0,15,0
Pristine,WAG,2,1,30,0
Pristine,WAG,2,1,26,0
Pristine,WAG,3,2,20,0
Pristine,WAG,3,1,9,0
Pristine,WAG,4,2,2,0
Pristine,WAG,4,2,4,0
Modified,KEM,1,0,28,0
Modified,KEM,1,0,43,0
Modified,KEM,2,0,27,0
Modified,KEM,2,0,22,0
Modified,KEM,4,0,45,0
Modified,KEM,4,0,37,0
Pristine,HAK,1,0,20,0
Pristine,HAK,1,0,32,0
Pristine,HAK,2,0,31,6
Pristine,HAK,2,0,35,4
Pristine,HAK,3,1,36,4
Pristine,HAK,3,0,46,20
Pristine,HAK,4,0,8,0
Pristine,HAK,4,0,9,0
Pristine,CLY,1,0,29,4
Pristine,CLY,1,3,33,6
Pristine,CLY,2,1,25,3
Pristine,CLY,2,0,28,1
Pristine,CLY,3,1,40,0
Pristine,CLY,3,2,24,0
Pristine,CLY,4,2,19,0
Pristine,CLY,4,2,33,1
